Dataset	Is.Pilot	Passes.Filters	Protocol	Split	Annotator.ID	Sentence.ID	Pred.Token	Pred.Lemma	Gram.Func	Arg.Phrase	Arg.Tokens.Begin	Arg.Tokens.End	Property	Response	Applicable	Sent.Grammatical
adjunct	False	False	adjunct	dev	71	en-ud-dev.conllu 1083	2	incorporate	nmod	on may 26 , 1955	6	10	location	1	no	5
adjunct	False	False	adjunct	dev	87	en-ud-dev.conllu 1083	2	incorporate	nmod	on may 26 , 1955	6	10	location	1	no	5
adjunct	False	False	adjunct	train	7	en-ud-train.conllu 370	1	earn	nmod	in 1970 - 1971	4	7	location	2	yes	3
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 370	1	earn	nmod	in 1970 - 1971	4	7	location	1	no	5
adjunct	False	False	adjunct	train	26	en-ud-train.conllu 371	2	earn	nmod	in 1971 - 1972	5	8	location	1	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 371	2	earn	nmod	in 1971 - 1972	5	8	location	1	no	5
adjunct	False	False	adjunct	train	16	en-ud-train.conllu 374	1	bring	nmod	to may 1972 - the time that has been the focus of so many news reports - when bush &quot; deserted &quot; ( according to anti-bush filmmaker michael moore ) or went &quot; awol &quot; ( according to terry mcauliffe , chairman of the democratic national committee )	4	51	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 374	1	bring	nmod	to may 1972 - the time that has been the focus of so many news reports - when bush &quot; deserted &quot; ( according to anti-bush filmmaker michael moore ) or went &quot; awol &quot; ( according to terry mcauliffe , chairman of the democratic national committee )	4	51	location	1	yes	5
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 1086	6	engage	nmod	in this activity	7	9	location	1	yes	5
adjunct	False	False	adjunct	dev	87	en-ud-dev.conllu 1086	6	engage	nmod	in this activity	7	9	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 375	1	ask	nmod	for permission to go to alabama to work on a senate campaign	2	13	location	1	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 375	1	ask	nmod	for permission to go to alabama to work on a senate campaign	2	13	location	1	no	5
adjunct	False	False	adjunct	dev	71	en-ud-dev.conllu 1097	1	give	nmod	to a rest home for senior citizens and an old soldiers &#39; home	3	15	location	3	yes	5
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 1097	1	give	nmod	to a rest home for senior citizens and an old soldiers &#39; home	3	15	location	5	yes	4
adjunct	False	False	adjunct	train	26	en-ud-train.conllu 3808	6	need	nmod	in the mean time	0	3	location	1	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 3808	6	need	nmod	in the mean time	0	3	location	1	yes	5
adjunct	False	False	adjunct	test	56	en-ud-test.conllu 921	5	shake	nmod	in a bilateral meeting in santiago	12	17	location	5	yes	5
adjunct	False	False	adjunct	test	76	en-ud-test.conllu 921	5	shake	nmod	in a bilateral meeting in santiago	12	17	location	5	yes	5
adjunct	False	False	adjunct	dev	3	en-ud-dev.conllu 1130	1	run	nmod	from london st pancras station	2	6	location	5	yes	4
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 1130	1	run	nmod	from london st pancras station	2	6	location	5	yes	4
adjunct	False	False	adjunct	train	7	en-ud-train.conllu 3812	1	sound	nmod	like a bs excuse from ecs	2	7	location	2	yes	3
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 3812	1	sound	nmod	like a bs excuse from ecs	2	7	location	1	yes	4
adjunct	False	False	adjunct	train	7	en-ud-train.conllu 6492	6	live	nmod	in la and san francisco	7	11	location	5	yes	3
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 6492	6	live	nmod	in la and san francisco	7	11	location	5	yes	5
adjunct	False	False	adjunct	dev	3	en-ud-dev.conllu 118	37	tell	nmod	outside federal court in detroit	39	43	location	5	yes	4
adjunct	False	False	adjunct	dev	71	en-ud-dev.conllu 118	37	tell	nmod	outside federal court in detroit	39	43	location	5	yes	5
adjunct	False	False	adjunct	train	7	en-ud-train.conllu 9961	1	have	nmod	with all different prices	12	15	location	2	yes	3
adjunct	False	False	adjunct	train	16	en-ud-train.conllu 9961	1	have	nmod	with all different prices	12	15	location	1	no	5
adjunct	False	False	adjunct	test	76	en-ud-test.conllu 921	5	shake	nmod	with chinese president hu jintao	7	11	location	1	yes	5
adjunct	False	False	adjunct	test	92	en-ud-test.conllu 921	5	shake	nmod	with chinese president hu jintao	7	11	location	5	yes	5
adjunct	False	False	adjunct	train	3	en-ud-train.conllu 6492	6	live	nmod	when not in texas	0	3	location	5	yes	4
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 6492	6	live	nmod	when not in texas	0	3	location	3	yes	5
adjunct	False	False	adjunct	dev	26	en-ud-dev.conllu 1240	1	vote	nmod	on the dominion posts website	2	6	location	5	yes	5
adjunct	False	False	adjunct	dev	87	en-ud-dev.conllu 1240	1	vote	nmod	on the dominion posts website	2	6	location	5	yes	5
adjunct	False	False	adjunct	train	3	en-ud-train.conllu 9995	1	phone	nmod	for advice on our office refurb	4	9	location	1	yes	4
adjunct	False	False	adjunct	train	29	en-ud-train.conllu 9995	1	phone	nmod	for advice on our office refurb	4	9	location	2	no	5
adjunct	False	False	adjunct	test	26	en-ud-test.conllu 935	1	start	nmod	with 21 email addresses	2	5	location	1	yes	5
adjunct	False	False	adjunct	test	76	en-ud-test.conllu 935	1	start	nmod	with 21 email addresses	2	5	location	1	yes	5
adjunct	False	False	adjunct	train	32	en-ud-train.conllu 3832	7	propose	nmod	after discussions with the commercial group	0	5	location	5	yes	5
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 3832	7	propose	nmod	after discussions with the commercial group	0	5	location	1	no	3
adjunct	False	False	adjunct	dev	7	en-ud-dev.conllu 1253	5	eat	nmod	around what time	1	3	location	2	yes	3
adjunct	False	False	adjunct	dev	26	en-ud-dev.conllu 1253	5	eat	nmod	around what time	1	3	location	1	yes	2
adjunct	False	False	adjunct	train	7	en-ud-train.conllu 6493	1	be	nmod	in all of these places	7	11	location	5	yes	3
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 6493	1	be	nmod	in all of these places	7	11	location	5	yes	4
adjunct	False	False	adjunct	train	1	en-ud-train.conllu 3836	6	think	nmod	in discussion with dave	0	3	location	4	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 3836	6	think	nmod	in discussion with dave	0	3	location	5	yes	5
adjunct	False	False	adjunct	train	3	en-ud-train.conllu 1229	2	walk	nmod	in mid-day	7	8	location	1	yes	5
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 1229	2	walk	nmod	in mid-day	7	8	location	1	no	4
adjunct	False	False	adjunct	test	32	en-ud-test.conllu 962	2	regard	nmod	as one of the leading avant - garde artist of modern calligraphy	3	14	location	2	yes	5
adjunct	False	False	adjunct	test	87	en-ud-test.conllu 962	2	regard	nmod	as one of the leading avant - garde artist of modern calligraphy	3	14	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 12308	6	order	nmod	from hickory furniture mart	8	11	location	1	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 12308	6	order	nmod	from hickory furniture mart	8	11	location	5	yes	5
adjunct	False	False	adjunct	train	1	en-ud-train.conllu 383	8	earn	nmod	from may 1972 to may 1973	0	5	location	1	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 383	8	earn	nmod	from may 1972 to may 1973	0	5	location	1	yes	5
adjunct	False	False	adjunct	train	3	en-ud-train.conllu 12308	6	order	nmod	on august 21st , 2009	0	4	location	1	yes	4
adjunct	False	False	adjunct	train	32	en-ud-train.conllu 12308	6	order	nmod	on august 21st , 2009	0	4	location	4	yes	5
adjunct	False	False	adjunct	dev	43	en-ud-dev.conllu 12	2	lose	nmod	to hostile fire near habbaniyah in the sunni heartland	6	14	location	5	yes	4
adjunct	False	False	adjunct	dev	87	en-ud-dev.conllu 12	2	lose	nmod	to hostile fire near habbaniyah in the sunni heartland	6	14	location	5	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 385	8	accumulate	nmod	in june and july of 1973	0	5	location	1	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 385	8	accumulate	nmod	in june and july of 1973	0	5	location	1	no	5
adjunct	False	False	adjunct	test	56	en-ud-test.conllu 963	3	select	nmod	in british museum	6	8	location	4	yes	5
adjunct	False	False	adjunct	test	76	en-ud-test.conllu 963	3	select	nmod	in british museum	6	8	location	5	yes	5
adjunct	False	False	adjunct	dev	26	en-ud-dev.conllu 1334	1	search	nmod	all over the internet	2	5	location	5	yes	5
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 1334	1	search	nmod	all over the internet	2	5	location	5	yes	5
adjunct	False	False	adjunct	test	76	en-ud-test.conllu 963	3	select	nmod	in 2002	9	10	location	1	no	4
adjunct	False	False	adjunct	test	87	en-ud-test.conllu 963	3	select	nmod	in 2002	9	10	location	1	no	5
adjunct	False	False	adjunct	train	32	en-ud-train.conllu 3877	3	leave	nmod	off of the message	5	8	location	4	yes	4
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 3877	3	leave	nmod	off of the message	5	8	location	5	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 12309	6	show	nmod	after seventeen days	0	2	location	1	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 12309	6	show	nmod	after seventeen days	0	2	location	1	no	5
adjunct	False	False	adjunct	dev	43	en-ud-dev.conllu 133	1	be	nmod	on my wall in the oval	4	9	location	5	yes	4
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 133	1	be	nmod	on my wall in the oval	4	9	location	5	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 3892	1	forward	nmod	to stan	5	6	location	1	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 3892	1	forward	nmod	to stan	5	6	location	5	yes	5
adjunct	False	False	adjunct	train	7	en-ud-train.conllu 12309	6	show	nmod	at my home	8	10	location	5	yes	4
adjunct	False	False	adjunct	train	56	en-ud-train.conllu 12309	6	show	nmod	at my home	8	10	location	5	yes	5
adjunct	False	False	adjunct	test	43	en-ud-test.conllu 965	12	seem	nmod	in the world of &quot; wei &#39;s magic cubes	0	8	location	5	yes	4
adjunct	False	False	adjunct	test	76	en-ud-test.conllu 965	12	seem	nmod	in the world of &quot; wei &#39;s magic cubes	0	8	location	5	yes	5
adjunct	False	False	adjunct	dev	3	en-ud-dev.conllu 1355	23	get	nmod	from satellite	25	26	location	5	yes	3
adjunct	False	False	adjunct	dev	43	en-ud-dev.conllu 1355	23	get	nmod	from satellite	25	26	location	1	no	3
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 12309	6	show	nmod	minus two pieces	11	13	location	1	yes	4
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 12309	6	show	nmod	minus two pieces	11	13	location	1	no	5
adjunct	False	False	adjunct	train	56	en-ud-train.conllu 389	5	receive	nmod	during his service	0	2	location	2	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 389	5	receive	nmod	during his service	0	2	location	1	yes	5
adjunct	False	False	adjunct	train	16	en-ud-train.conllu 10022	6	put	nmod	in his business	9	11	location	5	yes	3
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 10022	6	put	nmod	in his business	9	11	location	5	yes	5
adjunct	False	False	adjunct	train	7	en-ud-train.conllu 12312	1	spend	nmod	on the bedroom suite , which was complete and excellent condition on the showroom floor	4	18	location	5	yes	4
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 12312	1	spend	nmod	on the bedroom suite , which was complete and excellent condition on the showroom floor	4	18	location	1	yes	5
adjunct	False	False	adjunct	train	32	en-ud-train.conllu 389	5	receive	nmod	as a pilot	8	10	location	2	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 389	5	receive	nmod	as a pilot	8	10	location	1	no	5
adjunct	False	False	adjunct	dev	3	en-ud-dev.conllu 1394	1	have	nmod	in san francisco	7	9	location	5	yes	4
adjunct	False	False	adjunct	dev	26	en-ud-dev.conllu 1394	1	have	nmod	in san francisco	7	9	location	5	yes	4
adjunct	False	False	adjunct	train	3	en-ud-train.conllu 10033	1	compare	nmod	to a home made product that really stands the test of time	2	13	location	1	yes	5
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 10033	1	compare	nmod	to a home made product that really stands the test of time	2	13	location	1	no	4
adjunct	False	False	adjunct	train	26	en-ud-train.conllu 10079	1	love	nmod	for discounted beauty items and household appliances	3	9	location	1	yes	5
adjunct	False	False	adjunct	train	32	en-ud-train.conllu 10079	1	love	nmod	for discounted beauty items and household appliances	3	9	location	2	yes	3
adjunct	False	False	adjunct	train	16	en-ud-train.conllu 3910	9	invite	nmod	following the board meeting on wednesday	0	5	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 3910	9	invite	nmod	following the board meeting on wednesday	0	5	location	1	yes	5
adjunct	False	False	adjunct	train	3	en-ud-train.conllu 10095	3	call	nmod	( btwn 5:30 and 6 pm )	9	15	location	1	yes	4
adjunct	False	False	adjunct	train	20	en-ud-train.conllu 10095	3	call	nmod	( btwn 5:30 and 6 pm )	9	15	location	1	yes	nan
adjunct	False	False	adjunct	dev	65	en-ud-dev.conllu 1417	1	have	nmod	in there	5	6	location	5	yes	5
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 1417	1	have	nmod	in there	5	6	location	5	yes	5
adjunct	False	False	adjunct	train	32	en-ud-train.conllu 3957	3	meet	nmod	with the chairman of puct	4	8	location	1	yes	5
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 3957	3	meet	nmod	with the chairman of puct	4	8	location	1	no	4
adjunct	False	False	adjunct	train	7	en-ud-train.conllu 10095	3	call	nmod	with no answer	6	8	location	2	yes	4
adjunct	False	False	adjunct	train	56	en-ud-train.conllu 10095	3	call	nmod	with no answer	6	8	location	1	yes	5
adjunct	False	False	adjunct	dev	1	en-ud-dev.conllu 1449	1	work	nmod	for me	2	3	location	1	yes	3
adjunct	False	False	adjunct	dev	56	en-ud-dev.conllu 1449	1	work	nmod	for me	2	3	location	1	yes	4
adjunct	False	False	adjunct	train	32	en-ud-train.conllu 3966	3	focus	nmod	on the pilot	4	6	location	5	yes	4
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 3966	3	focus	nmod	on the pilot	4	6	location	1	no	5
adjunct	False	False	adjunct	train	26	en-ud-train.conllu 1009	20	label	nmod	by the national socialists	24	27	location	1	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 1009	20	label	nmod	by the national socialists	24	27	location	1	yes	5
adjunct	False	False	adjunct	dev	3	en-ud-dev.conllu 1464	2	taste	nmod	like rat feces	3	5	location	1	yes	5
adjunct	False	False	adjunct	dev	43	en-ud-dev.conllu 1464	2	taste	nmod	like rat feces	3	5	location	1	no	5
adjunct	False	False	adjunct	train	71	en-ud-train.conllu 10109	1	get	nmod	for this station	6	8	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 10109	1	get	nmod	for this station	6	8	location	3	yes	5
adjunct	False	False	adjunct	dev	16	en-ud-dev.conllu 151	3	sing	nmod	at my first inaugural church service as governor	4	11	location	5	yes	5
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 151	3	sing	nmod	at my first inaugural church service as governor	4	11	location	1	yes	5
adjunct	False	False	adjunct	train	32	en-ud-train.conllu 10109	1	get	nmod	from pennysaver	4	5	location	5	yes	5
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 10109	1	get	nmod	from pennysaver	4	5	location	5	yes	5
adjunct	False	False	adjunct	dev	73	en-ud-dev.conllu 1534	2	be	nmod	with every pizza	6	8	location	1	no	5
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 1534	2	be	nmod	with every pizza	6	8	location	1	yes	4
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 10117	1	order	nmod	at the counter	2	4	location	5	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 10117	1	order	nmod	at the counter	2	4	location	5	yes	4
adjunct	False	False	adjunct	dev	43	en-ud-dev.conllu 154	3	base	nmod	upon the hymn called , &#39; a charge to keep	4	13	location	1	no	4
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 154	3	base	nmod	upon the hymn called , &#39; a charge to keep	4	13	location	1	yes	5
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 1011	5	destroy	nmod	as a result	6	8	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 1011	5	destroy	nmod	as a result	6	8	location	1	yes	5
adjunct	False	False	adjunct	train	26	en-ud-train.conllu 397	3	blame	nmod	for the swift boat veterans &#39; attack	5	11	location	1	yes	5
adjunct	False	False	adjunct	train	92	en-ud-train.conllu 397	3	blame	nmod	for the swift boat veterans &#39; attack	5	11	location	1	yes	5
adjunct	False	False	adjunct	train	3	en-ud-train.conllu 10123	1	be	nmod	in fernandina	6	7	location	5	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 10123	1	be	nmod	in fernandina	6	7	location	5	yes	5
adjunct	False	False	adjunct	train	3	en-ud-train.conllu 10138	1	remove	nmod	for our condominium building	5	8	location	1	yes	4
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 10138	1	remove	nmod	for our condominium building	5	8	location	5	yes	5
adjunct	False	False	adjunct	train	1	en-ud-train.conllu 3999	1	meet	nmod	at the meeting of the science and industry advance with mathematics society at the university of houston	5	21	location	5	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 3999	1	meet	nmod	at the meeting of the science and industry advance with mathematics society at the university of houston	5	21	location	5	yes	5
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 10157	11	offer	nmod	in the most unlikely of locations	22	27	location	1	no	4
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 10157	11	offer	nmod	in the most unlikely of locations	22	27	location	5	yes	5
adjunct	False	False	adjunct	dev	43	en-ud-dev.conllu 160	2	give	nmod	based upon principles that did not change once i got into the oval office	12	25	location	1	no	4
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 160	2	give	nmod	based upon principles that did not change once i got into the oval office	12	25	location	1	yes	5
adjunct	False	False	adjunct	dev	3	en-ud-dev.conllu 1670	3	locate	nmod	just off the river road	4	8	location	5	yes	5
adjunct	False	False	adjunct	dev	87	en-ud-dev.conllu 1670	3	locate	nmod	just off the river road	4	8	location	5	yes	5
adjunct	False	False	adjunct	train	56	en-ud-train.conllu 10162	1	go	nmod	for the shallac / gel manicure which is only $ 25	5	15	location	1	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 10162	1	go	nmod	for the shallac / gel manicure which is only $ 25	5	15	location	1	yes	5
adjunct	False	False	adjunct	train	26	en-ud-train.conllu 1231	2	call	nmod	by several arab leaders and &quot; activist &quot; by the european press	6	17	location	1	yes	nan
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 1231	2	call	nmod	by several arab leaders and &quot; activist &quot; by the european press	6	17	location	1	no	5
adjunct	False	False	adjunct	dev	71	en-ud-dev.conllu 1700	1	win	nmod	through a charity auction	8	11	location	3	yes	5
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 1700	1	win	nmod	through a charity auction	8	11	location	1	yes	5
adjunct	False	False	adjunct	train	56	en-ud-train.conllu 10169	1	give	nmod	at an amazing price	5	8	location	1	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 10169	1	give	nmod	at an amazing price	5	8	location	1	yes	5
adjunct	False	False	adjunct	train	56	en-ud-train.conllu 4060	1	look	nmod	like a good candidate	2	5	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 4060	1	look	nmod	like a good candidate	2	5	location	1	yes	5
adjunct	False	False	adjunct	train	16	en-ud-train.conllu 10198	1	sit	nmod	in the front dining area	2	6	location	5	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 10198	1	sit	nmod	in the front dining area	2	6	location	5	yes	5
adjunct	False	False	adjunct	train	10	en-ud-train.conllu 12327	8	get	nmod	five minutes before my initial lesson	0	5	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 12327	8	get	nmod	five minutes before my initial lesson	0	5	location	1	yes	5
adjunct	False	False	adjunct	dev	56	en-ud-dev.conllu 1701	3	donate	nmod	by the teacher adz	4	7	location	1	yes	4
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 1701	3	donate	nmod	by the teacher adz	4	7	location	1	yes	5
adjunct	False	False	adjunct	train	10	en-ud-train.conllu 406	2	appear	nmod	in the hill	3	5	location	5	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 406	2	appear	nmod	in the hill	3	5	location	5	yes	5
adjunct	False	False	adjunct	train	3	en-ud-train.conllu 10228	2	fixede	nmod	in 1 day	5	7	location	1	yes	3
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 10228	2	fixede	nmod	in 1 day	5	7	location	1	no	2
adjunct	False	False	adjunct	train	65	en-ud-train.conllu 1233	1	be	nmod	in town	5	6	location	5	yes	4
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 1233	1	be	nmod	in town	5	6	location	5	yes	nan
adjunct	False	False	adjunct	dev	3	en-ud-dev.conllu 170	1	announce	nmod	in january	3	4	location	1	yes	5
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 170	1	announce	nmod	in january	3	4	location	1	no	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 4165	1	refer	nmod	to the following terms	2	5	location	1	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 4165	1	refer	nmod	to the following terms	2	5	location	1	no	5
adjunct	False	False	adjunct	train	26	en-ud-train.conllu 10242	1	come	nmod	on time	2	3	location	1	yes	5
adjunct	False	False	adjunct	train	87	en-ud-train.conllu 10242	1	come	nmod	on time	2	3	location	1	no	5
adjunct	False	False	adjunct	train	16	en-ud-train.conllu 1240	21	channel	nmod	into three concentric spheres supporting death and murder	22	29	location	5	yes	5
adjunct	False	False	adjunct	train	56	en-ud-train.conllu 1240	21	channel	nmod	into three concentric spheres supporting death and murder	22	29	location	4	yes	5
adjunct	False	False	adjunct	dev	3	en-ud-dev.conllu 171	11	change	nmod	as of january 10 , 2005	0	5	location	1	yes	5
adjunct	False	False	adjunct	dev	7	en-ud-dev.conllu 171	11	change	nmod	as of january 10 , 2005	0	5	location	2	yes	4
adjunct	False	False	adjunct	train	32	en-ud-train.conllu 10246	1	come	nmod	in to town	2	4	location	5	yes	4
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 10246	1	come	nmod	in to town	2	4	location	5	yes	5
adjunct	False	False	adjunct	train	26	en-ud-train.conllu 12416	8	hang	nmod	after much yelling and cussing	2	6	location	1	yes	5
adjunct	False	False	adjunct	train	43	en-ud-train.conllu 12416	8	hang	nmod	after much yelling and cussing	2	6	location	1	no	4
adjunct	False	False	adjunct	train	7	en-ud-train.conllu 12421	4	notice	nmod	within a week	0	2	location	2	yes	3
adjunct	False	False	adjunct	train	71	en-ud-train.conllu 12421	4	notice	nmod	within a week	0	2	location	1	no	5
adjunct	False	False	adjunct	dev	1	en-ud-dev.conllu 171	11	change	nmod	from the mozilla foundation	12	15	location	5	yes	5
adjunct	False	False	adjunct	dev	76	en-ud-dev.conllu 171	11	change	nmod	from the mozilla foundation	12	15	location	1	yes	5
adjunct	False	False	adjunct	train	32	en-ud-train.conllu 6556	6	improve	nmod	as a result	0	2	location	2	yes	4
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 6556	6	improve	nmod	as a result	0	2	location	1	yes	5
adjunct	False	False	adjunct	dev	1	en-ud-dev.conllu 171	11	change	nmod	to google , inc. of mountain view , california	16	24	location	4	yes	5
adjunct	False	False	adjunct	dev	56	en-ud-dev.conllu 171	11	change	nmod	to google , inc. of mountain view , california	16	24	location	4	yes	5
adjunct	False	False	adjunct	train	3	en-ud-train.conllu 12447	1	return	nmod	after 3 pm	2	4	location	1	yes	5
adjunct	False	False	adjunct	train	10	en-ud-train.conllu 12447	1	return	nmod	after 3 pm	2	4	location	1	no	5
adjunct	False	False	adjunct	train	56	en-ud-train.conllu 6637	2	come	nmod	only in the dictionary	6	9	location	5	yes	5
adjunct	False	False	adjunct	train	76	en-ud-train.conllu 6637	2	come	nmod	only in the dictionary	6	9	location	5	yes	5
adjunct	False	False	adjunct	train	16	en-ud-train.conllu 4171	3	quote	nmod	in us dollars per unit of volume , which will be the contractual currency	4	17	location	1	no	5
